workerid,condition,stim_present,stimulus,response,correct,rt
S102,1,0,52,0,1,2201
S102,1,0,4,0,1,4659
S102,1,0,73,0,0,5416
S102,1,0,47,0,1,1617
S102,1,0,74,0,1,17921
S102,1,0,35,0,1,2496
S102,1,0,60,0,1,6317
S102,1,0,83,0,1,1813
S102,1,0,96,1,0,3754
S102,1,0,55,0,1,1604
S102,1,0,57,0,1,1519
S102,1,0,41,0,1,4714
S102,1,0,90,0,1,1567
S102,1,0,93,0,1,1665
S102,1,0,24,0,1,1945
S102,1,0,110,0,0,9501
S102,1,0,84,1,1,2675
S102,1,0,119,0,1,1887
S102,1,0,104,0,1,2055
S102,1,0,7,0,1,2022
S102,1,0,10,1,1,5207
S102,1,0,111,1,1,2560
S102,1,0,106,0,1,16693
S102,1,0,100,0,1,2740
S102,1,0,19,0,1,3869
S102,1,0,53,1,1,4717
S102,1,0,114,1,1,1591
S102,1,0,95,1,1,2127
S102,1,0,32,0,1,1695
S102,1,0,88,1,1,10365
S102,1,0,14,1,0,6746
S102,1,0,118,0,1,1880
S102,1,0,33,0,1,12347
S102,1,0,40,0,1,6143
S102,1,0,5,0,0,19338
S102,1,0,31,0,1,3424
S102,1,0,25,1,0,5663
S102,1,0,59,1,1,4276
S102,1,0,36,0,1,1677
S102,1,0,103,1,1,10351
S102,1,0,16,0,0,2580
S102,1,0,29,1,0,13704
S102,1,0,11,1,1,1666
S102,1,0,0,1,1,9606
S102,1,0,20,1,1,2099
S102,1,0,112,1,1,1243
S102,1,0,79,1,1,1497
S102,1,0,3,1,1,5344
S102,1,0,98,1,1,4789
S102,1,0,1,0,1,4289
S102,1,0,67,1,1,8366
S102,1,0,51,0,1,11309
S102,1,0,44,1,1,2081
S102,1,0,18,0,1,1594
S102,1,0,70,1,1,3791
S102,1,0,30,1,1,2307
S102,1,0,13,1,1,3214
S102,1,0,43,0,1,5551
S102,1,0,101,0,1,4795
S102,1,0,21,0,1,1534
S102,1,0,34,1,1,4229
S102,1,0,62,1,1,3761
S102,1,0,65,0,1,17425
S69,1,2000,41,1,1,1815
S69,1,2000,18,1,1,2087
S69,1,2000,28,0,0,5228
S69,1,2000,22,0,1,1928
S69,1,2000,51,1,0,1958
S69,1,2000,100,1,0,2176
S69,1,2000,84,0,1,4623
S69,1,2000,79,1,1,1974
S69,1,2000,114,0,1,1935
S69,1,2000,0,1,1,2441
S69,1,2000,16,1,1,2020
S69,1,2000,35,0,1,2886
S69,1,2000,97,0,0,2171
S69,1,2000,62,1,1,2048
S69,1,2000,105,1,1,2138
